index,North,South,West,East,ND,SD,WD,ED
1,,2,7,,,3,3,
2,1,,8,,3,,3,
3,,4,9,,,3,3,
4,3,,10,,3,,3,
5,,6,11,,,3,3,
6,5,,,,3,,,
7,,,13,1,,,3,3
8,,9,,2,,3,,3
9,8,,,3,3,,,3
10,,11,,4,,3,,3
11,10,12,17,5,3,3,3,3
12,11,,18,,3,,3,
13,,,19,7,,,3,3
14,,15,20,,,3,3,
15,14,16,,,3,3,,
16,15,,,,3,,,
17,,,23,11,,,3,3
18,,,,12,,,,3
19,,20,25,13,,3,3,3
20,19,21,,14,3,3,,3
21,20,,27,,3,,3,
22,,23,,,,3,,
23,22,24,29,17,3,3,3,3
24,23,,,,3,,,
25,,26,31,19,,3,3,3
26,25,27,,,3,3,,
27,26,,33,21,3,,3,3
28,,,34,,,,3,
29,,,35,23,,,3,3
30,,,36,,,,3,
31,,32,,25,,3,,3
32,31,,,,3,,,
33,,,39,27,,,3,3
34,,35,40,28,,3,3,3
35,34,36,41,29,3,3,3,3
36,35,,,30,3,,,3
37,,38,43,,,3,3,
38,37,39,,,3,3,,
39,38,40,,33,3,3,,3
40,39,41,,34,3,3,,3
41,40,42,,35,3,3,,3
42,41,,48,,3,,3,
43,,,,37,,,,3
44,,45,,,,3,,
45,44,46,,,3,3,,
46,45,47,,,3,3,,
47,46,48,,,3,3,,
48,47,,,42,3,,,3
